start,end,screencap,film scene / beat description,truth level,truth int,fiction type ,film (condensed),in reality (condensed notes),in reality (long notes),source name,source link,source link,source link
01:10:08,01:10:18,01:10:08,Deposition 1 - SAVERIN claims PARKER said a billion dollars IS cool.,TRUE-ISH,2,,A Billion dollars is cool.,Parker had always aimed for a billion dollars.,"Although those exact words weren't in the book, Parker had been aiming for his first billion with his other two major projects, & hoped Facebook would be the one to get him there. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p198.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:10:18,01:10:50,01:10:30,The bar. PARKER advising them to get to a billion dollar valuation before looking to make money from TheFacebook. Things are tense between SAVERIN & the others. PARKER mediates with assertion that he is impartial. ,TRUE-ISH,2,,Parker advises them to get a billion dollar valuation.,Parker aimed at $1bn.,"Zuckerberg wasn't keen on ads because they weren't cool, & that Parker was on the same page, advising them to aim for $1bn first. There was tension between Saverin & the others. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. ",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:10:50,01:11:00,01:10:54,"Deposition 1 - SAVERIN recounts PARKER paying for dinner & leaving, after making his biggest contribution to the company. ",TRUE,3,,Parker pays for dinner.,Parker paid for dinner.,Parker picked up the check on his way out. ,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p148.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:11:00,01:11:18,01:11:02,"The bar. As PARKER walks away he pauses, suggest dropping 'The' from TheFacebook. ZUCKERBERG's face lights up. He is in awe of PARKER. ",TRUE-ISH,2,,"Parker suggests dropping the ""The"" from ""TheFacebook""",Parker wanted to dispense with the 'The'.,"The' was dropped from TheFacebook gradually by its users. However, one of the first things Parker thought when he discovered the site was 'why not just Facebook?' & he did push for dropping the 'The' officially. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p109, 141, 181.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:11:18,01:11:41,00:11:20,"SAVERIN, ZUCKERBERG & CHRISTY in a taxi. SAVERIN & ZUCKERBERG still disagreeing about whether to start making money from TheFacebook. Agree to drop the 'The'. ",TRUE-ISH,2,,Saverin & Zuck disagreeing about how to monetise Facebook.,Saverin & Zuckerberg disagreed.,"Although this particular scene doesn't feature in the book, we know Saverin & Zuckerberg disagreed throughout about whether, & when, & how to monetise Facebook. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p119-120.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:11:41,01:12:38,01:11:46,"Deposition 1 - lawyer questions SAVERIN on whether he has ever harmed the company. Raises an incident of animal cruelty. SAVERIN is incredulous that this has come up. Even ZUCKERBERG shifts as if to stop his lawyer, but allows it. ",UNKNOWN,-1,,Saverin is accused of animal cruelty.,Not in the book.,We don't know if this was raised in the deposition. The depositions didn't appear in the book & most of the details are sealed. ,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. ",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:12:38,01:12:43,01:12:39,"Harvard dorm. ZUCKERBERG reading an article in The Crimson, telling SAVERN he can't be having things this like this going on. SAVERIN insists it was a prank (we don't what 'it' is yet). ",FALSE,0,,Zuckerberg reading an article in The Crimson that incriminates Saverin for something.,Zuckerberg didn't read the article.,Zuckerberg reading the article didn't feature in the book.,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:12:43,01:12:53,01:12:11,"Deposition 1 - SAVERIN explains that he was accepted into The Phoenix Club, & had to carry a chicken with him at all times for a week as part of initiation. ",TRUE,3,,Saverin explains he had to carry a chicken around.,Phoenix Club chicken rituals were well known.,Carrying a chicken at all times for 5 days was a standard part of Phoenix Club initiation that Saverin took part in. ,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p36-37. ",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:12:53,01:13:00,01:12:59,Dorm room. ZUCKERBERG reads from The Crimson - the article on SAVERIN's chicken links him to Facebook. ZUCKERBERG thinks this is bad for business. ,FALSE,0,dramatic license,The Crimson mentions Saverin.,Saverin was never mentioned explicitly. ,"There was a Harvard Crimson article that addressed the use of chickens in The Phoenix Club rituals, but it did not mention Saverin & nobody in connection with the club has ever admitted or been charged with animal cruelty.",Chasing the Frog,http://www.chasingthefrog.com/reelfaces/thesocialnetwork.php,,
01:13:00,01:13:09,01:13:03,Deposition 1 - SAVERIN exclaiming that he has never tortured a chicken.,TRUE,3,,Saverine says he has never tortured a chicken.,Saverin had been cluelessly trying to keep it alive.,"Saverin did not view his 'care' of the chicken as cruel, rather, he just had no idea what to feed it. The instructions from the Phoenix Club were to keep it healthy & alive, not to torture it. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p38.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:13:09,01:13:13,01:13:11,"Dorm room. ZUCKERBERG points out how scathing the article is. In the background MOSKOVITZ on a computer, shouts out '956'. ",FALSE,0,dramatic license,Zuck points out how scathing the article is.,Zuckerberg didn't read the article.,Zuckerberg reading the article didn't feature in the book.,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:13:13,01:13:20,01:13:18,Deposition 1 - SAVERIN tries to explain the chicken thing. ,UNKNOWN,-1,,Saverin tries to explain the chicken thing.,The depositions details aren't in the book. ,The depositions details aren't in the book & only a few snippets have been leaked online.,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:13:20,01:13:22,01:13:21,Dorm room. ZUCKERBERG says somebody will have to answer for this. Seems faintly amused. MOSKOVITZ shouts '969'. ,FALSE,0,dramatic license,Zuckerberg says someone has to answer for this.,Zuckerberg didn't care.,Zuckerberg found the whole chicken thing amusing & didn't care about the consequences. ,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p36.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:13:22,01:13:44,01:13:31,"Deposition 1 - SAVERIN tells the room he fed pieces of chicken to his chicken at dinner, not knowing that wasn't ok. He was seen, had to deal with animal rights groups & the college, it was all resolved. ",TRUE,3,,Saverin already had to deal with the animal rights group.,Animal rights group complained.,"Saverin did feed fried chicken to his chicken, & was seen by two members of the Porcellian Club, who made a complaint to The United Poultry Concern. The group approached Harvard president Larry Summers & an ad board investigation was launched. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p38.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:13:44,01:14:15,01:13:45,Dorm room. MOSKOVITZ shouts out '988'. ZUCERBERG explains to SAVERIN that he's using Facebook to cheat on a paper by getting people to comment on images he was supposed to have analysed. ,TRUE-ISH,2,,Zuckerberg says he is using Facebook to cheat on a paper.,Zuckerberg used a website to cheat on a paper.,"Zuckerberg did set up a website to help him cheat on his core paper while he was working on TheFacebook, but TheFacebook wasn't up & running at that point.","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p96-97.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:14:15,01:14:43,01:14:04,"Deposition 1 - lawyer questions SAVERIN on ZUCKERBERG's cheating, he refuses to discuss it out of loyalty. SAVERIN is upset that ZUCKERBERG told his lawyers about the chicken, lawyer says they found it themselves, that ZUCKERBERG defended SAVERIN when they first raised it. ",UNKNOWN,-1,,Saverin upset that Zuck mentioned the chicken.,The depositions details aren't in the book. ,The depositions details aren't in the book & only a few snippets have been leaked online.,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:14:43,01:16:08,01:14:44,"Dorm room. MOSKOVITZ shouts '993 - we're so close!'. SAVERIN & ZUCKERBERG fight about PARKER. ZUCKERBERG wants to spend the summer in California, hire two interns, & work with PARKER. SAVERIN distrusts PARKER. ",TRUE,3,,They fight about spending the summer in California.,Zuckerberg wanted to spend the summer in Silicon Valley.,"Zuckerberg decided Silicon Valley was the place to be over the summer break. They decided to hire two interns to help get TheFacebook into 100 schools by the end of summer. Saverin not keen, but agrees to fund it. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p154-155.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:16:08,01:17:50,01:16:35,Coding competition/party in the computer sciences building - the 'interviews' for the Facebook internships. SAVERIN has agreed to fund them. ,TRUE,3,,Boozy coding competition.,The internship interviews involved coding & drinking.,"Zuckerberg set up a coding/drinking competition between the candidates, there was an audience & a lot of excitement. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p157-159.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:17:50,01:18:29,01:17:51,Deposition 1 - lawyer questions SAVERIN about his funding of the internships in spite of his reservations about PARKER. SAVERIN claims he wanted to be a team player & didn't think much could go wrong in 3 months. ,TRUE,3,,Saverin agrees to summer in Silicon Valley.,Saverin agreed to the summer in Silicon Valley.,"Saverin eventually decided very little could go wrong in 3 months, despite his initial concerns about California. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p159.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:18:29,01:19:16,01:19:05,"A house in California. ZUCKERBERG, MOSKOVITZ, interns have made a zipline across the pool. Lots of messing around, pizza, beer, computers everywhere. ",TRUE,3,,Crazy antics in Palo Alto house.,They took a house in suburban Palo Alto. ,"They took a house on La Jennifer Way, no. 819, in Palo Alto. They did create a zipline from the chimney to a telegraph pole across the pool, & damaged the chimney in the process. ","Chasing the Frog, Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p168.",http://www.chasingthefrog.com/reelfaces/thesocialnetwork.php,https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,
01:19:16,01:19:44,01:19:18,"ZUCKERBERG answers the doorbell. PARKER is standing there with a girl, surprised to see ZUCKERBERG there. Tells him he made the right choice to come to California. ",TRUE-ISH,2,,Parker is unexpectedly at the door.,Zuckerberg ran into Parker unexpectedly.,Parker & Zuckerberg did meet unexpectedly on the streets of Palo Alto after losing touch for a couple of months following their initial meeting. ,"Chasing the Frog, Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p166.",http://www.chasingthefrog.com/reelfaces/thesocialnetwork.php,https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,
01:19:44,01:20:27,01:20:21,ZUCKERBERG shows PARKER their place. PARKER impressed with the set up. We find out SAVERIN didn't come out with them because he got an internship in New York. ,TRUE,3,,Saverin isn't around. He's on an internship in NY.,Saverin was offered an intership in NY.,"Saverin got offered a prestigious internship in New York, decided to take it, search for advertising for TheFacebook in his spare time. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p153.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:20:27,01:24:22,01:20:54,"In a high-end nightclub. PARKER gives ZUCKERBERG a peptalk about success. Tells him if he reaches his goal of Facebook in a 100 schools by the end of Summer, he will put it on 2 continents. ZUCKERBERG offers him a room at their place, PARKER accepts. ",TRUE,3,,Zuck offers Parker a room in their house. Parker accepts.,Parker moved in with Zuckerberg & the team.,"Zuckerberg did invite Parker to move into the Palo Alto house with them, soon after which he became president of Facebook. Parker decided he was going to show Zuckerberg the way to success.","Chasing the Frog, Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p167-168.",http://www.chasingthefrog.com/reelfaces/thesocialnetwork.php,https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,
01:24:22,01:26:04,01:24:11,Henry Royal Regatta in London. American team includes WINKLEVOSS twins - they lose by a whisker to the Dutch team. ,TRUE,3,,The twins loose to the Dutch in London.,The twins lost the Regatta to the Dutch.,"The twins did compete in the Regatta, losing by second to the best team in the world - the Dutch. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p185-186.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:26:04,01:28:03,01:26:26,"Post-race reception in London. WINKLEVOSS twins learn that Facebook has reached Cambridge, Oxford & LSE. ",TRUE,3,,The twins find out Facebook has spready to the UK.,The twins found out TheFacebook had gone international while in London.,"They were at the reception in London when a man asked them if they were on TheFacebook, so that they could contact his daughter about her photos of the race. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p188.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:28:03,01:28:59,01:28:18,"WINKLEVOSS twins & NARENDRA rush to a computer. TYLER begs CAMERON to let them sue ZUCKERBERG in federal court, after their 'gentlemanly' attempts to bring him down have failed. CAMERON finally agrees.  ",TRUE-ISH,2,,The twins finally decide to sue.,They decided a lawsuit was inevitable.,"While in the book they didn't rush to a computer there & then, they did decide at that moment that a lawsuit was inevitable. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p190. ",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:28:59,01:29:38,01:29:20,"The California house. Mess everywhere, all busy writing code & having a good time. Knock at the door, PARKER goes to answer it. ",TRUE,3,,California house is trashed.,They trashed the house.,"They made a mess of the suburban house they rented, turning it into a frat house. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p169.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:29:38,01:30:40,01:30:22,"SAVERIN at the door, soaking wet. ZUCKERBERG was supposed to pick him up from the airport. Suspicious at PARKER's presence. Major tension between them.",FALSE,0,character development,Saverin is drenched at the door. Zuck didn't pick him up from the airport.,Zuckerberg did pick Saverin up from the airport.,Zuckerberg did pick Saverin up from the airport.,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p177.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:30:40,01:31:50,01:30:47,"ZUCKERBERG walks in. SAVERIN not happy that PARKER is setting up business meetings. Not happy about the partying, young girls etc., at the place he's funding. ",TRUE,3,,Saverin not happy with Parker's presence.,Saverin resented Parker's involvement in the business side.,"Saverin felt displaced by Parker's involvement in the business side of things, given that it was supposed to Saverin's job to handle investors & advertisers. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p192-193.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:31:50,01:33:17,01:32:07,ZUCKERBERG & SAVERIN argue about PARKER. We find out SAVERIN quit his internship on day one to search for advertising in NY instead. ZUCKERBERG is unappreciative. ,TRUE,3,,Zuck & Saverin argue. Saverin has quit his internship to support Facebook.,Saverin quit his internship to focus on Facebook.,Saverin quit his internship on day one after realising that he needed to be focusing on getting advertising for Facebook. ,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p174.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:33:17,01:33:36,01:33:28,SAVERIN in a bank. Freezes the Facebook bank account. ,TRUE,3,,Saverin freezes the Facebook account.,Saverin froze the account. ,Saverin froze the business account. He had been angry about being shut out of TheFacebook & Parker setting up business meetings was the final straw. Zuckerberg had to fund the house & site costs out of pocket & his family had to take out loans to fund the servers.,"Chasing the Frog, Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p195. ",http://www.chasingthefrog.com/reelfaces/thesocialnetwork.php,http://www.businessinsider.com/is-the-social-network-true-2010-10?IR=T#painting-eduardo-as-a-victim-and-zuckerberg-as-a-villian-the-film-neglects-to-mention-that-facebook-began-to-be-starved-for-cash-while-eduardo-saverin-was-in-new-york-it-got-so-bad-zuckerbergs-family-took-out-loans-for-servers-1,https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20
01:33:36,01:33:49,01:33:36,ZUCKERBERG & PARKER wait in the reception of a skyscraper. PARKER tells ZUCKERBERG this was where they filmed towering inferno.,TRUE,3,,Zuck has a meeting where they filmed The Towering Inferno.,"The meeting was at 555 California Street, where the movie was filmed. ","The meeting was at 555 California Street, where the movie was filmed. ","Movie Locations, Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p203.",http://www.movie-locations.com/movies/t/ToweringInferno.html#.VXWY0lxVhBc,https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,
01:33:49,01:34:27,01:34:04,THIEL invites them into his office. Offers a $500k investment. Asks who SAVERIN is.,TRUE,3,,Investor Thiel offers them $500K.,Thiel invested $500k. ,Parker had set up a meeting with former PayPal CEO Peter Thiel. He invested $500k. ,"Chasing the Frog, Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p203-204.",http://www.chasingthefrog.com/reelfaces/thesocialnetwork.php,https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,
01:34:27,01:36:04,01:35:54,"SAVERIN at home in bed. CHRISTY lets herself in, goes crazy at him for not calling her. She is in a jealous rage at SAVERIN's 'single' status on Facebook. SAVERIN admits he doesn't know how to change it. Phone rings, it is ZUCKERBERG. ",FALSE-ISH,1,character development,Christy in a jealous rage with Saverin.,Not in the book.,"Although this particular incident didn't happen in the book, Kelly was insanely jealous & possessive.","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p184.",,,
01:36:04,01:36:49,01:36:42,"ZUCKERBERG on the phone to SAVERIN, furious that he has frozen the account & jeopardised Facebook. In background, CHRISTY is setting fire to her gift from SAVERIN.",TRUE,3,,Zuck is furious. Christy sets fire to her gift from Saverin.,Kelly set fire to Saverin's gift in her own dorm.,"Christy's real-life equivalent did set fire to Saverin's gift & his belongings in her dorm room, which nearly burned down. Saverin was on a flight back to NY when it happened. Zuckerberg & Parker were angry that Saverin's extreme actions had put Facebook at risk. ","Quora, Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p184, 200. ",http://www.quora.com/The-Social-Network-2010-movie/Who-was-the-real-life-Christy-Ling-Is-she-meant-to-be-Jenny-Wu,https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,
01:36:49,01:37:48,01:37:02,"SAVERIN desperately trying to put the fire out while on the phone to ZUCKERBERG, apologising for the frozen account. ZUCKERBERG tells him they got the investment & he needs SAVERIN in San Francisco. ",TRUE,3,,Zuck tells Saverin he needs him in San Francisco.,Zuckerberg & Saverin made up on the phone.,"Saverin wasn't there when Kelly lit the fire, but she did light it. Saverin did have these conversations with Zuckerberg. They both apologised & tried to smooth things over. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p212.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:37:48,01:37:57,01:37:51,"CHRISTY has been eavesdropping. Startles SAVERIN. In a sugary voice, complains that he's leaving again already. SAVERIN breaks up with her. ",TRUE-ISH,2,,Saverine breaks up with his jealous girlfriend.,Saverin broke up with Kelly.,Saverin did end the relationship because she was crazy possessive. ,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p212.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:37:57,01:38:04,01:38:00,"ZUCKERBERG outside his place in California, looking in at PARKER & the other celebrating. He is smiling. ",TRUE-ISH,2,,Zuck smiling.,He was pretty happy with events.,"Although this particular scene doesn't feature in the book, Zuckerberg was thrilled with the success of Facebook & Parker's involvement.","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. ",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:38:04,01:39:10,01:38:15,"SAVERIN in a meeting with lawyers. Explains shares agreements - ZUCKERBERG has 51%, SAVERIN 34.4%, MOSKOVITZ 6.81%, PARKER 6.47%, THIEL 7%. SAVERIN happy with that. ",TRUE,3,,Saverin reels off the initial share ratios.,These were the initial share ratios.,"These were the initial shares in the reincorporated Facebook, open to dilution as more investors & staff joined. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p215.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:39:10,01:40:12,01:39:13,"Depsition 1 - SAVERIN claims he didn't know he had been 'signing his own death sentence', had thought the lawyers were on his side. Expresses his dissapointment in ZUCKERBERG, who he feels has betrayed his only friend. ",TRUE,3,,"Saverin didn't realise he was ""signing his own death sentence""",Saverin felt betrayed. ,"Saverin felt betrayed by his friend, he had never thought Zuckerberg would do something like that. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p228.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:40:12,01:40:34,01:40:15,In the new Facebook offices. ZUCKERBERG is staying while SAVERIN goes back to school. ZUCKERBERG says SAVERIN must return later that year for the party planned for when Facebook hits 1m members. ,TRUE,3,,Zuckeberg is not going back to Harvard.,Zuckerberg dropped out of Harvard in 2004.,Zuckerberg dropped out of Harvard & moved to Palo Alto in June 2004. Never returned to Harvard as a student. ,Chasing the Frog,http://www.chasingthefrog.com/reelfaces/thesocialnetwork.php,,
01:40:34,01:41:28,01:41:01,"PARKER & ZUCKERBERG pull up outside some shiny offices. ZUCKERBERG in his PJs, going to get pitched by Case Equity. They have a revenge plan - ZUCKERBERG will identify the guy who came after PARKER & tell him 'Sean PARKER says f**k you'. ",TRUE,3,,"Zuckerberg, in pyjamas, about to pull a prank on an investor.",They did pull such a prank. ,"Parker convinced Zuckerberg to throw a meeting with Sequoia Capital by turning up late, in pjs, & giving a terrible presentation. Parker thought M. Moritz of Sequoia Capital had squeezed him out from his company. Zuckerberg claims to regret wasting their time. ",Chasing the Frog,http://www.chasingthefrog.com/reelfaces/thesocialnetwork.php,,
01:41:28,01:42:15,01:41:20,"Deposition 1 - SAVERIN recalls going out to California for the millionth member party, & to discuss the investment MANNINGHAM was pitching after he was impressed by PARKER's revenge stunt. SAVERIN claims it was actually an ambush. ",TRUE,3,,Saverin attends the millionth member party.,Saverin was handed papers unexpectedly. ,Saverin was called to California to talk about investments & help train a new recruit. When he arrived he was handed legal papers. The people from the company that took Parker down were now vying to invest in Facebook. ,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p227-228, 232-233.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:42:15,01:43:07,01:41:56,"SAVERIN at the Facebook offices. Finds out his shares have been massively diluted. Smashes ZUCKERBERG's computer, demands to know how much ZUCKERBERG & PARKER's shares have been diluted.",TRUE,3,dramatic license,Saverin finds his shares have been diluted. Angry.,"Saverin's shares were diluted, but he didn't smash things up. ","Saverin was being diluted out of the company. He was furious, but according to the him & to the book he didn't smash anything up. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p230.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,http://www.forbes.com/sites/andersonantunes/2012/05/27/eduardo-saverin-finally-opens-up-no-hard-feelings-between-me-and-mark-zuckerberg/,
01:43:07,01:43:09,01:43:44,Deposition 1 - we learn that ONLY SAVERIN's shares were diluted down. To 0.03%.,FALSE-ISH,1,dramatic license,Saverin's shares diluted to 0.03%.,"Saverin's shares were diluted to below 10%, not as low as 0.03%. ","Saverin's shares were diluted to below 10%, but not as low as 0.03%. The dilution did end their business relationship. ",Chasing the Frog,http://www.chasingthefrog.com/reelfaces/thesocialnetwork.php,,
01:43:09,01:44:48,01:44:10,SAVERIN furious at being squeezed out of the company. Threatens to sue for the lot. Has a realisation that ZUCKERBERG has done this out of spite because SAVERIN got into The Phoenix Club & he didn't. ,FALSE,0,character development,Saverin furious about being squeezed out. Thinks Zuck is jealous.,Zuckerberg didn't act on jealousy.,"There is no evidence that Zuckerberg screwed Saverin over out of jealousy, & although in the book Saverin noted that Zuckerberg was impressed with Saverin's Phoenix Club admission, he didn't mention jealousy.","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p19.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:44:48,01:45:18,01:45:04,"As SAVERIN is walking out, PARKER offers him a cheque for the $19k he originally put up - drawn from the frozen account. SAVERIN takes a swing at him. ",FALSE,0,dramatic license,Parker offers him a cheque for $19K. Saverin takes a swing at him.,Saverin & Parker weren't the violent type.,"Parker didn't try to wind Saverin up in this way. In the book Parker seems only vaguely interested in Saverin, didn't have strong enough feelings to try & annoy him intentionally. Saverin didn't try to punch Parker.","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p230.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:45:18,01:46:00,01:45:39,ZUCKERBERG annoyed at PARKER for being too rough on SAVERIN. ,FALSE,0,character development,Zuck annoyed with parker for being too rough.,Not in the book.,"The book didn't mention Zuckerberg's feelings about Saverin at all, his emotions were portrayed as mostly inpenetrable.","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. ",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:46:00,01:46:40,01:46:12,"PARKER mentions ASHLEY, an intern he's been hooking up with. ZUCKERBERG looks stung, as if he wanted her for himself. A package arrives.  ",FALSE,0,character development,Parker mentions an intern Zuck is interested in.,Not in the book.,This didn't happen in the book. Zuckerberg barely showed an interest in women at all. ,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. ",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:46:40,01:47:10,01:46:46,Facebook passes its millionth member mark. Cheers erupt in the offices. ,TRUE,3,,Facebook passes its millionth member mark.,Facebook reached one million members within 10 months.,Facebook reached one million members within 10 months.,Business Insider,http://www.businessinsider.com/one-million-users-startups-2012-1?op=1&IR=T,,
01:47:10,01:47:50,01:47:50,After-party at a sorority house. In a separate room PARKER pitches an idea for online photo sharing while somebody taps a vial of coke onto a girl's stomach. ,TRUE,3,,Parker at a party excited about new Facebook features.,Parker was partying with a young employee.,"Parker was at a party with an undergraduate Facebook employee. He had been getting excited about all the new ideas for Facebook, the photo sharing, the newsfeed etc. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p242-246.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
